# -*- org -*-
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| basename        | subname | refspec | medium  | R_vini     | I_force_init | I_advect | I_convect | I_vdiff | I_wetdep | I_drydep | I_sedi | I_scav | I_mix | I_force_col | I_integrate | I_timefilter | I_method | S_model  | I_mode     | I_sol |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| O1D             |         | O       | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| O3P             |         | O       | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| O2              |         |         | AIR     | 0.21_dp    |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| O3              |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| O3s             |         | O3      | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| LO3s            |         | O3      | AIR     |            |              | OFF      | OFF       | OFF     |          | OFF      |        | OFF    |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| H               |         |         | AIR     |            |              | ON       | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| H2              |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| OH              |         |         | AIR     |            |              | ON       | OFF       | OFF     |          |          |        | ON     |       |             |             |              |          |          |            |       |
| HO2             |         |         | AIR     |            |              | ON       | OFF       | OFF     |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| H2OH2O          |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| H2O             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| H2O2            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| N               |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| N2D             |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| N2              |         |         | AIR     | 0.78_dp    |              | OFF      | OFF       | OFF     |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NH3             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| N2O             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| NO              |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NO2             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NO3             |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| N2O5            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HONO            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HNO3            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| HNO4            |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| NH2             |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | ON     |       |             |             |              |          |          |            |       |
| HNO             |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | ON     |       |             |             |              |          |          |            |       |
| NH2O            |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | ON     |       |             |             |              |          |          |            |       |
| NHOH            |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | ON     |       |             |             |              |          |          |            |       |
| NH2OH           |         |         | AIR     |            |              | ON       | ON        | ON      |          | OFF      |        | ON     |       |             |             |              |          |          |            |       |
| HOONO           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
|-----------------+---------+---------+---------+------------+--------------+----------+-----------+---------+----------+----------+--------+--------+-------+-------------+-------------+--------------+----------+----------+------------+-------|
| CH3O2           |         |         | AIR     |            |              | OFF      | OFF       | OFF     |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3OH           |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH3OOH          |         |         | AIR     |            |              | ON       | ON        | ON      |          | ON       |        | ON     |       |             |             |              |          |          |            |       |
| CH4             |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | ON     |       |             |             |              |          |          |            |       |
| CO              |         |         | AIR     |            |              | ON       | ON        | ON      |          |          |        | OFF    |       |             |             |              |          |          |            |       |
| CO2             |         |         | AIR     | 3.5E-04_dp |              | ON       | ON        | ON      |          |          |        | ON     |       |             |             |              |          |          |            |       |
