# -*- org -*-
# Time-stamp: <2019-01-04 15:26:55 sander>
# Authors: Rolf Sander
#          Sergey Gromov (additions/corrections)

# After changing this file, the script xchemprop must be called to
# update messy_main_tracer_chemprop.inc. This can be done either
# directly, via caaba/Makefile, or via messy/smcl/Makefile.m. The TRACER
# submodel SMCL file messy_main_tracer.f90 includes the chemprop *.inc
# file and it provides the FUNCTIONs get_chemprop_index and
# get_chemprop. These FUNCTIONs can be used to obtain the index of a
# species and any real, integer or string values, respectively. See
# e.g., SUBROUTINE mecca_aero_init_gasaq in smcl/messy_mecca_aero.f90 or
# SUBROUTINE test_chemprop in mbm/tracer/tracer_bml.f90.

# - Lines starting with "\" are LaTeX definitions. This can be used for
#   the table captions and for footnotes.

\def\Henry{\stackrel{\displaystyle H^{\ominus}}{\rule{0pt}{5mm}\unit{[M/atm]}}}
\def\HTdep{\stackrel{\displaystyle\frac{\dd\ln H^{\ominus}}{\dd(1/T)}}{\rule{0pt}{5mm}\unit{[K]}}}
\def\alphaTdep{$\alpha$-T-dep}
\def\alphaominus{$\alpha^{\ominus}$}

|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <CHEMPROP>      |    S_casrn | R_molarmass | R_Henry_T0           |  R_Henry_Tdep | R_Sechenov      | R_alpha_T0      | R_alpha_Tdep | R_K_acid         | R_K_acid2       | R_Vmol_bp |  R_psat | R_psat_Tdep |    R_pss | R_dryreac_sf | I_charge | R_aerosol_density |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <LATEX>         |     CAS-RN | Formula     | < $\Henry$           |    $\HTdep$ > | < $k_{\rm s}$ > | < \alphaominus  | \alphaTdep > | < $K_{\rm a}$    | $K_{\rm a2}$ >  |           |         |             |    < pss |    dryreac > |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| <DEFAULT>       |          ? | 0.          | -9.99999             |      -9.99999 | 9.99999         | 0.1     {&SN}   |           0. | 9.99999          | 9.99999         |   9.99999 | 9.99999 |     9.99999 | -9.99999 |     -9.99999 |        0 |           9.99999 |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
| O1D             |            | O           |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| O3P             |            | O           |                      |               |                 |                 |              |                  |                 |           |         |             |          |              |          |                   |
| O2              |  7782-44-7 | O2          | 1.3E-3       {&190}  |         1500. |                 | 0.01    {&SN}   |        2000. |                  |                 |           |         |             |      0.0 |          0.0 |          |                   |
| O3              | 10028-15-6 | O3          | 1.03E-2      {&3245} |         2830. |                 | 0.002   {&826}  |              |                  |                 |           |         |             |     0.01 |          1.0 |          |                   |
|-----------------+------------+-------------+----------------------+---------------+-----------------+-----------------+--------------+------------------+-----------------+-----------+---------+-------------+----------+--------------+----------+-------------------|
